,Data,Label
1,$candidates.candidateId,
2,$candidates.workspace,JP
3,$candidates.teaId,
4,$candidates.title,
5,$candidates.firstName,FINA
6,$candidates.lastName,LN
7,$candidates.maidenName,LN
8,$candidates.gender,GN
9,$candidates.civility,
10,$candidates.maritalStatus,
11,$candidates.nationalityCode,
12,$candidates.address,HADD
13,$candidates.addressPrecision,HADD
14,$candidates.city,CITY
15,$candidates.email,EMAIL
16,$candidates.countryCode,CC
17,$candidates.zipCode,PC
18,$candidates.ssn,NI
19,$candidates.ssnKey,NI
20,$candidates.qualificationCode,
21,$candidates.birthday,DOB
22,$candidates.birthCountryCode,CC
23,$candidates.birthCounty,CC
24,$candidates.birthPlace,BP
25,$candidates.payrollMethod,
26,$candidates.bankName,
27,$candidates.bankIban,CCN
28,$candidates.bankBic,
29,$candidates.phone,TN
30,$candidates.bqDomiciliation,
31,$candidates.streetNumber,HADD
32,$candidates.street2,CITY
33,$candidates.bisStreet,CITY
34,$candidates.inseeCity,CITY
35,$candidates.nbirthCity,CITY
36,$candidates.agenciesList,
37,$id,
38,$isModification,
39,$isCreation,
40,$clients.clientId,
41,$clients.workspace,
42,$clients.teaId,
43,$clients.name,FN
44,$clients.address,HADD
45,$clients.addressPrecision,HADD
46,$clients.zipCode,PC
47,$clients.city,CITY
48,$clients.country,CC
49,$clients.phone,TN
50,$clients.siret,NI
51,$clients.ape,
52,$clients.vatRate,
53,$clients.clientSalesId,
54,$clients.transportationTaxPlanId,
55,$clients.billingPlanId,
56,$clients.nameShort,FN
57,$clients.customerOrder,
58,$clients.designation,
59,$clients.fax,EMAIL
60,$clients.email,EMAIL
61,$clients.user,
62,$clients.web,
63,$clients.inseeCommune,
64,$clients.tvaPays,
65,$clients.tvaCle,
66,$clients.billingTerm,
67,$clients.billName,FN
68,$clients.billAddress1,HADD
69,$clients.billAddress2,HADD
70,$clients.billAddress3,HADD
71,$clients.billPostalcode,PC
72,$clients.billCity,CITY
73,$clients.billCountry,CC
74,$clients.billSiren,NI
75,$clients.billNic,NI
76,$clients.billPhone,TN
77,$clients.billFax,EMAIL
78,$clients.billEmail,EMAIL
79,$clientId,
80,$workspace,
81,$teaId,
82,$name,FN
83,$address,HADD
84,$addressPrecision,HADD
85,$zipCode,PC
86,$city,CITY
87,$country,CC
88,$phone,TN
89,$siret,NI
90,$ape,
91,$vatRate,
92,$clientSalesId,
93,$transportationTaxPlanId,
94,$billingPlanId,
95,$nameShort,FN
96,$customerOrder,
97,$designation,
98,$fax,EMAIL
99,$email,EMAIL
100,$user,
101,$web,
102,$inseeCommune,
103,$tvaPays,
104,$tvaCle,
105,$billingTerm,
106,$billName,FN
107,$billAddress1,HADD
108,$billAddress2,HADD
109,$billAddress3,HADD
110,$billPostalcode,PC
111,$billCity,CITY
112,$billCountry,CC
113,$billSiren,NI
114,$billNic,NI
115,$billPhone,TN
116,$billFax,EMAIL
117,$billEmail,EMAIL
118,$version,
119,$evoliaVersion,
120,$isCompliantWithDevVersion,
121,$isCompliantWithTestedVersion,
122,$status,
123,$sqliteConnection,
124,$sqlServerConnection,
125,$listSchemaErrors,
126,$values.value,
127,$values.title,
128,$access_token,
129,$expires_in,
130,$refresh_token,
131,$token_type,
132,$operationType,
133,$portOfOperations,
134,$previousPort,
135,$nextPort,
136,$imoNumber,
137,$etdBerth,
138,$atdBerth,
139,$visitYear,
140,$visitNumber,
141,$adultsPassengerAccessCount,
142,$adultsVehicleAccessCount,
143,$minorsPassengerAccessCount,
144,$minorsVehicleAccessCount,
145,$babiesPassengerAccessCount,
146,$babiesVehicleAccessCount,
147,$driversCount,
148,$tourismsCount,
149,$motorcyclesCount,
150,$trailersCount,
151,$largeVehiclesCount,
152,$smallBusesCount,
153,$largeBusesCount,
154,$account.accountId,
155,$account.accountOwners.customerId,
156,$account.accountOwners.primary,
157,$account.accountType,
158,$account.contextAttributes.name,
